ポケモン,H,A,B,C,D,S,合計
ホワイトキュレム,125,120,90,170,100,95,700
ブラックキュレム,125,170,100,120,90,95,700
ムゲンダイナ,140,85,95,145,95,130,690
ミュウツー,106,110,90,154,90,130,680
ルギア,106,90,130,90,154,110,680
ホウオウ,106,130,90,110,154,90,680
レックウザ,105,150,90,150,90,95,680
ディアルガ,100,120,120,150,100,90,680
パルキア,90,120,100,150,120,100,680
ギラティナ,150,100,120,100,120,90,680
レシラム,100,120,100,150,120,90,680
ゼクロム,100,150,120,120,100,90,680
ゼルネアス,126,131,95,131,98,99,680
イベルタル,126,131,95,131,98,99,680
ソルガレオ,137,137,107,113,89,97,680
ルナアーラ,137,113,89,137,107,97,680
ネクロズマ（あかつきのつばさ）,97,113,109,157,127,77,680
ネクロズマ（たそがれのたてがみ）,97,157,127,113,109,77,680
ザシアン,92,130,115,80,115,138,670
ザマゼンタ,92,130,115,80,115,138,670
グラードン,100,150,140,100,90,90,670
カイオーガ,100,100,90,150,140,90,670
キュレム,125,130,90,130,90,95,660
ミュウ,100,100,100,100,100,100,600
ドラパルト,88,120,75,100,75,142,600
バンギラス,100,134,110,95,100,61,600
セレビィ,100,100,100,100,100,100,600
サザンドラ,92,105,90,125,90,98,600
ジラーチ,100,100,100,100,100,100,600
ガブリアス,108,130,95,80,85,102,600
ラティアス,80,80,90,110,130,110,600
ラティオス,80,90,80,130,110,110,600
クレセリア,120,70,120,75,130,85,600
ヒードラン,91,90,106,130,106,77,600
ランドロス,89,125,90,115,80,101,600
ジガルデ,108,100,121,81,95,95,600
ヌメルゴン,90,100,70,110,150,80,600
ジャラランガ,75,110,125,100,105,85,600
マギアナ,80,95,115,130,115,65,600
ネクロズマ,97,107,101,127,89,79,600
マーシャドー,90,125,80,90,90,125,600
ゼラオラ,88,112,75,102,80,143,600
メルメタル,135,143,143,80,65,34,600
レジロック,80,100,200,50,100,50,580
レジアイス,80,50,100,100,200,50,580
レジスチル,80,75,150,75,150,50,580
コバルオン,91,90,129,90,72,108,580
テラキオン,91,129,90,72,90,108,580
フリーザー,90,85,100,95,125,85,580
サンダー,90,90,85,125,90,100,580
ファイヤー,90,100,90,125,85,90,580
ライコウ,90,85,75,115,100,115,580
エンテイ,115,115,85,90,75,100,580
スイクン,100,75,115,90,115,85,580
ガラルファイヤー,90,100,90,125,85,90,580
ガラルフリーザー,90,85,100,95,125,85,580
ガラルサンダー,90,90,85,125,90,100,580
ユクシー,75,75,130,75,130,95,580
エムリット,80,105,105,105,105,80,580
アグノム,75,125,70,125,70,115,580
ボルトロス,79,115,70,125,80,111,580
トルネロス,79,115,70,125,80,111,580
ケルディオ,91,72,90,129,90,108,580
ビリジオン,91,90,72,90,129,108,580
カプ・コケコ,70,115,85,95,75,130,570
カプ・テテフ,70,85,75,130,115,95,570
カプ・ブルル,70,130,115,85,95,75,570
カプ・レヒレ,70,75,115,95,130,85,570
シルヴァディ,95,95,95,95,95,95,570
ウインディ,90,110,80,100,80,95,555
ウルガモス,85,60,65,135,105,100,550
ウーラオス(いちげきのかた),100,130,100,63,60,97,550
ウーラオス(れんげきのかた),100,130,100,63,60,97,550
トゲキッス,85,50,95,120,115,80,545
ギャラドス,95,125,79,60,100,81,540
オノノクス,76,147,90,60,70,97,540
カビゴン,160,110,65,65,110,30,540
ハピナス,255,10,10,75,135,55,540
ミロカロス,95,60,79,100,125,81,540
キングドラ,75,95,95,95,95,85,540
ガラルヒヒダルマ（ダルマモード）,105,160,55,30,55,135,540
ブーバーン,75,95,67,125,95,83,540
ポリゴンZ,85,80,70,135,75,90,535
ラプラス,130,85,80,85,95,60,535
ドサイドン,115,140,130,55,55,40,535
ジュラルドン,70,95,115,120,50,85,535
ジバコイル,70,70,115,130,90,60,535
クロバット,85,90,80,70,80,130,535
モジャンボ,100,100,125,110,50,50,535
バイバニラ,71,95,85,110,95,79,535
オンバーン,85,70,80,97,80,123,535
リザードン,78,84,78,109,85,100,534
タイプ：ヌル,95,95,95,95,95,59,534
エースバーン,80,116,75,65,75,119,530
ガオガエン,95,115,90,80,90,60,530
インテレオン,70,85,65,125,65,120,530
アシレーヌ,80,74,74,126,116,60,530
ナッシー（アローラのすがた）,95,105,85,125,75,45,530
カメックス,79,83,100,85,105,78,530
ボスゴドラ,70,110,180,60,60,50,530
ナッシー,95,95,85,125,75,55,530
グソクムシャ,75,125,140,60,90,40,530
マンムー,110,130,80,70,60,80,530
